NPC,FPS
0,223
1,209
2,203
3,197
4,193
5,189
6,185
7,180
8,172
9,170
10,162
11,156
12,148
13,144
14,138
15,137
16,128
17,123
18,128
19,105
20,110
21,99
22,102
23,91
24,92
25,91
26,85
27,77
28,73
29,78
30,84
31,63
32,62
33,62
34,65
35,55
36,60
37,53
38,60
39,50
40,47
41,50
42,48
43,45
44,42
45,45
46,41
47,37
48,45
49,35
50,38
51,37
52,38
53,38
54,38
55,36
56,35
57,35
58,30
59,31
60,32
61,36
62,33
63,35
64,29
65,31
66,28
67,30
68,28
69,30
70,27
71,25
72,30
73,26
74,25
75,27
76,26
77,25
78,24
79,22
80,23
81,22
82,25
83,21
84,21
85,19
86,21
87,19
88,21
89,20
90,18
91,23
92,20
93,18
94,17
95,19
96,20
97,18
98,19
99,21
100,18
101,17
