NPC,FPS
0,223
1,209
2,203
3,200
4,197
5,193
6,190
7,186
8,183
9,177
10,172
11,170
12,157
13,152
14,150
15,143
16,136
17,132
18,131
19,118
20,117
21,114
22,112
23,105
24,101
25,94
26,93
27,90
28,80
29,80
30,74
31,64
32,67
33,63
34,68
35,59
36,59
37,53
38,50
39,59
40,57
41,47
42,46
43,52
44,45
45,46
46,47
47,42
48,48
49,40
50,42
51,41
52,38
53,39
54,37
55,40
56,39
57,37
58,35
59,34
60,34
61,37
62,35
63,37
64,30
65,30
66,35
67,29
68,33
69,33
70,30
71,26
72,32
73,29
74,27
75,25
76,26
77,29
78,27
79,25
80,26
81,27
82,24
83,25
84,24
85,24
86,24
87,20
88,24
89,22
90,22
91,21
92,24
93,21
94,21
95,22
96,20
97,20
98,21
99,20
100,19
101,19
