NPC,FPS
0,223
1,210
2,204
3,202
4,199
5,196
6,194
7,192
8,187
9,184
10,181
11,175
12,163
13,161
14,155
15,154
16,148
17,138
18,145
19,134
20,131
21,120
22,116
23,120
24,116
25,101
26,94
27,113
28,91
29,86
30,75
31,96
32,80
33,82
34,63
35,81
36,75
37,67
38,68
39,60
40,53
41,54
42,53
43,52
44,60
45,64
46,60
47,46
48,54
49,43
50,51
51,41
52,40
53,48
54,48
55,44
56,39
57,37
58,37
59,35
60,33
61,39
62,42
63,38
64,36
65,41
66,33
67,32
68,29
69,29
70,29
71,33
72,30
73,34
74,27
75,30
76,40
77,26
78,30
79,28
80,26
81,26
82,29
83,32
84,23
85,24
86,23
87,25
88,24
89,22
90,26
91,21
92,19
93,23
94,20
95,20
96,24
97,22
98,22
99,20
100,23
101,21
