NPC,FPS
0,119
1,120
2,120
3,120
4,120
5,120
6,120
7,120
8,120
9,120
10,120
11,120
12,120
13,120
14,120
15,119
16,119
17,118
18,115
19,112
20,109
21,106
22,98
23,94
24,91
25,92
26,69
27,86
28,80
29,84
30,77
31,65
32,63
33,73
34,62
35,65
36,58
37,51
38,49
39,53
40,46
41,57
42,49
43,46
44,51
45,42
46,44
47,39
48,43
49,46
50,40
51,38
52,38
53,38
54,38
55,36
56,32
57,34
58,34
59,32
60,35
61,34
62,30
63,32
64,31
65,31
66,30
67,29
68,28
69,28
70,29
71,28
72,26
73,26
74,24
75,26
76,27
77,27
78,26
79,26
80,26
81,25
82,23
83,22
84,24
85,22
86,23
87,21
88,20
89,22
90,20
91,21
92,21
93,20
94,20
95,18
96,19
97,18
98,18
99,18
100,19
101,18
